Spine File,SphericalGarmonics
0.025 0.025 0.1 dataset/1008-11/spine_0.off,"[ 8.11670763e-01 -2.88661208e-03 -7.20595576e-02  1.51291315e-01
 -1.77856743e-01  4.19880526e-01  2.06354087e-01 -3.12808223e-02
 -6.48362915e-03 -3.46278760e-02  6.05463474e-02 -1.52937292e-02
 -6.64958005e-02  4.21284711e-02 -7.51418002e-02  3.50755492e-02
  2.57127995e-02 -5.55687771e-02 -1.75503402e-02  1.89165584e-01
 -5.85475297e-02  3.15139424e-02 -1.61529612e-01  7.25922381e-02
 -6.41045195e-04  1.21141721e-02  1.57621785e-02 -6.95984974e-02
  3.53783087e-02 -9.00681905e-02 -4.50019950e-02  1.03555957e-03
 -4.23790325e-02 -9.74299594e-04  7.49158764e-03  2.31745028e-02
  2.03115894e-02  6.35491433e-03  1.32811938e-02 -8.19320296e-02
  4.43430883e-02  4.75441167e-03 -5.09600591e-02  1.52927092e-02
 -6.45743520e-02 -3.03534006e-02  7.31036362e-02 -2.91190366e-02
  2.18601375e-02 -4.99964734e-04  2.81990217e-02  2.35918645e-02
 -5.62108600e-03 -4.84537858e-02 -2.67534673e-03 -7.96850074e-02
  1.64027278e-02 -1.84963842e-02  4.24781877e-02 -1.62117781e-02
  4.73314679e-02  1.35075259e-02 -1.84695147e-02  8.29331743e-04
 -3.83170496e-03  7.69609885e-03  1.71938561e-03  5.94071179e-02
 -4.35945020e-02  2.47442746e-03  1.41577310e-02 -7.36458849e-03
  2.73020303e-03 -2.59133244e-03  1.76984418e-02 -3.98710562e-02
  5.51933215e-02  8.85821958e-03 -1.47379625e-02 -2.19283848e-02
  5.01239799e-03  8.81117801e-03 -9.67849944e-03 -9.47941243e-03
  1.65607941e-02  3.95339407e-02 -1.23782822e-02  1.79688602e-02
 -2.45401898e-02 -7.91318070e-03  3.45456884e-02 -3.55818748e-03
  4.71857962e-02  1.27510210e-02  2.26933045e-02  1.84719261e-02
 -3.54470762e-02 -1.66117991e-02  6.76600098e-03 -1.18192992e-03]"
0.025 0.025 0.1 dataset/22/spine_5.off,"[ 5.97024106e-01 -2.40442541e-02 -2.32202896e-02 -5.28097038e-02
  4.48543076e-02 -7.48253047e-03 -1.49381830e-01  1.90982910e-02
 -1.30291818e-01 -1.64587387e-02  1.98251985e-02 -4.67981487e-02
  2.34319463e-02  1.36903343e-02  1.39849040e-02 -1.04916908e-02
  2.99994389e-03 -1.18780483e-02 -8.83831936e-03 -1.36626075e-02
  3.98631365e-02 -1.75174674e-02  4.27114267e-02 -2.02021467e-02
  2.89768265e-02 -1.11545795e-02 -8.92899608e-03  1.19085620e-02
 -1.89933813e-02  2.17740816e-02 -1.14304105e-02 -2.53146972e-03
 -1.29345904e-02  3.49806591e-03 -3.57391704e-03  7.42511934e-03
  9.21017636e-04  8.72050431e-03 -2.99424812e-03  1.21461450e-02
 -1.02235471e-04  1.31516553e-02 -1.18899382e-02  1.06981378e-02
 -1.94194610e-02  1.89320080e-02 -1.27900711e-02  1.27157567e-02
 -5.22761957e-03  1.52156495e-02  2.09379191e-03  5.68151472e-03
  9.90154087e-03  3.41592871e-04  1.05066214e-02 -8.83314322e-04
  7.27373706e-03 -8.08227186e-04  7.06853302e-03  1.34013390e-03
  2.45016334e-03  8.80802440e-04 -1.78330991e-03 -3.44049288e-03
 -3.81158360e-03 -7.84312549e-03  2.91864089e-03 -9.96505926e-03
  6.11453378e-03 -6.62502330e-03  5.79713062e-03 -7.28093756e-03
 -1.59973429e-03 -4.26460326e-03  1.26692949e-03 -1.13879779e-02
  1.28500368e-04 -7.34513810e-03 -6.10370186e-03 -3.77135034e-03
 -3.25570289e-03 -7.26298717e-03  8.20637984e-04 -9.30889137e-03
 -2.38765650e-03 -3.88645438e-03 -5.22090910e-03 -2.60706878e-03
 -5.02730261e-03 -3.79785169e-03 -5.20502197e-03  1.13852039e-03
 -6.40516241e-03 -1.82206335e-04 -2.03211323e-03 -1.95725438e-03
 -4.07941409e-04 -2.73552170e-03 -1.91291296e-03  2.58972033e-03]"
0.025 0.025 0.1 dataset/3_full_res (8)/spine_3.off,"[ 9.72122116e-01  1.33443624e-01 -8.05695480e-02 -1.29218772e-01
 -3.13263828e-01  2.99758782e-02 -8.65560388e-02  4.96166912e-02
 -2.22801602e-01  2.02310740e-02  6.98801260e-02 -1.74184320e-01
  3.26853664e-04  9.90654120e-02  3.60165955e-02  3.41056163e-01
  2.69225955e-01 -1.48967517e-02  1.95377875e-01  9.14146527e-02
  1.61264400e-01 -3.24793094e-02  5.80116793e-02 -6.65164204e-02
 -2.24499474e-01 -3.05766221e-01 -6.80435840e-02 -3.84165498e-02
 -7.88003791e-02  1.55328580e-01 -8.62589903e-02 -1.11376220e-01
 -5.07220451e-02 -1.93602357e-01  6.21296892e-02 -1.14456188e-01
  8.74929454e-02  8.84417071e-02 -1.46143718e-01  9.23504512e-04
 -1.64904632e-01 -1.01790610e-01 -1.12076795e-01  7.70732494e-02
 -8.14090016e-02  1.09795721e-01  1.40529093e-01  3.89676022e-02
  3.36791910e-01  2.30113826e-01 -1.70293002e-02  2.01493474e-01
  9.82610975e-02  2.98181571e-02  1.19956014e-01 -1.27216310e-01
  8.68535586e-02  8.46770038e-02  6.01756065e-02  1.71003761e-01
 -6.07613986e-02  4.64586329e-02 -1.06329708e-01 -2.54176487e-01
 -3.42333610e-01 -9.14685642e-02 -6.97376273e-02 -1.20128286e-01
  1.17724163e-01 -3.40540047e-03  1.29390656e-01  1.07846810e-01
  1.00036156e-01 -5.67678365e-02  5.70956593e-02 -1.28657962e-01
 -1.15547926e-01 -5.59764151e-02 -1.83339576e-01  6.66037125e-02
 -5.64240242e-02  1.37907072e-01  1.16572464e-01 -1.21251139e-01
  1.51959208e-02 -1.55593924e-01 -1.15111955e-01 -2.05935885e-02
 -1.07410498e-01  1.09643624e-01 -8.93838265e-02 -7.21259563e-02
 -5.91983327e-02 -1.32136960e-01  7.69320240e-02 -3.56206233e-02
  1.31943145e-01  1.59229343e-01  4.16490275e-02  3.20460289e-01]"
0.025 0.025 0.1 dataset/27/spine_4.off,"[ 6.76753111e-01  1.60821464e-02  1.93682303e-02 -4.92689905e-02
 -1.89347078e-02  1.43866243e-01 -6.09126942e-02  7.94490800e-02
 -1.13015483e-01  1.32421553e-02  8.56744402e-03 -1.42554314e-02
  1.22117262e-02 -1.84498872e-02  9.51244923e-03  1.05870947e-02
  2.65210398e-03 -3.16263256e-02  2.77649639e-02 -1.77437206e-02
 -2.46173984e-02 -1.33378823e-02 -1.92305756e-03 -2.50329445e-02
  1.68739992e-02 -8.15693109e-03  4.22482240e-05  8.42218702e-03
 -2.21191320e-02  9.22331571e-03 -3.49510257e-03  1.17317556e-03
 -2.04188355e-02  3.47551797e-03 -1.71229656e-02 -8.08245194e-03
 -1.32257911e-03 -1.02897638e-03 -1.24028846e-02 -9.33790719e-03
 -5.53620521e-03 -1.46426092e-02 -4.09972634e-04 -4.61667197e-03
 -1.11789414e-03  2.86248289e-03 -1.56348234e-03  6.67538406e-03
 -1.62516916e-03  4.20331253e-04 -2.16642577e-03 -2.46895845e-03
  9.95335129e-03 -1.45682921e-02  5.47950272e-03 -3.11559859e-03
  2.86121887e-03  4.71699767e-03  6.80921840e-03 -3.69453560e-04
  1.01506992e-02 -1.01075413e-02  5.62471710e-03  6.03976639e-03
  6.33973710e-04 -1.40666088e-03 -1.12813121e-03  3.73093535e-03
 -2.55840046e-03  3.88760212e-03 -3.36891301e-03  1.58116186e-03
  3.31412015e-03 -4.67946968e-04  3.80805682e-03 -7.81878290e-04
  5.42929047e-03 -1.72079609e-03 -4.87433444e-04 -3.34378059e-03
  1.93906816e-03  2.44140514e-03 -8.09111862e-05 -2.02302062e-03
 -5.06597284e-03  6.53907370e-03 -4.86576631e-03  2.07171877e-03
  2.44149843e-04 -1.88050294e-03 -1.68893356e-03  4.98741564e-04
  9.35062355e-04  2.29166762e-03 -1.89758503e-04  5.08028430e-03
 -4.34995561e-03  7.15678095e-03  5.00283788e-03 -1.81231063e-03]"
0.025 0.025 0.1 dataset/3_full_res (10-2)/spine_0.off,"[ 8.04680308e-01  8.02666003e-02 -7.87108887e-02  7.51355621e-03
  1.33071053e-04 -1.14404951e-01  1.17453468e-01  1.17078808e-01
 -1.55898830e-01 -4.61268780e-02  8.30207283e-02  3.42627514e-02
  8.58614451e-02 -6.09322328e-03  6.09715056e-02  5.96911814e-02
  4.45893644e-02  5.41236483e-02 -1.40400955e-02  3.75735064e-02
 -4.40467114e-02 -2.37987091e-03 -6.39558203e-02 -1.10660880e-01
  1.04301967e-02 -1.56196873e-02 -1.11536609e-01 -4.08781095e-02
 -4.35704799e-03 -8.45895640e-02  1.67176408e-02  4.45601791e-02
 -1.66244928e-02  7.27635926e-02  5.14660758e-03 -4.30547505e-02
 -2.79843295e-02  3.98102789e-02  8.82840062e-02  1.63821091e-02
  6.43394669e-02  4.09295075e-02  5.14419024e-02 -1.97969873e-02
  5.07176135e-02 -8.46674879e-03  7.24396614e-03  9.07122389e-02
  3.20585113e-02  3.53623283e-02  6.40617825e-02 -2.61618183e-02
 -3.96984214e-02  2.59266401e-02 -3.94790577e-02  2.73558403e-02
 -4.26866189e-02 -6.74740107e-03 -4.81312676e-02 -5.41622421e-02
 -1.14575592e-02 -9.14675275e-02 -6.12117080e-02  1.66773686e-02
  4.07274108e-03 -7.26917522e-02 -7.25502427e-02  1.30185015e-02
 -4.23033293e-02 -3.21990358e-02  9.84214800e-04 -6.40083187e-02
  1.37348165e-02  2.69285805e-02  1.17178663e-03  7.15579649e-02
  3.91111542e-03  5.37739331e-02  6.26317078e-02 -3.38577556e-02
 -3.29761530e-02 -2.42545488e-02 -1.53813753e-03  8.14142741e-02
  6.07674179e-02  1.75047282e-02  7.69461120e-02  2.28502467e-02
  4.58047012e-02  4.34336220e-02  3.87184060e-02 -1.25100335e-02
  4.00762742e-02 -2.04927540e-02  2.60934022e-03  1.25599137e-02
 -3.83760460e-02  4.19672524e-02  6.78748393e-02  6.61613633e-03]"
